"","TagID","Year","Month","Sex","Weight","Wing","Km","Depth","Grupos"
"1","AD01",2017,"Apr","M",2398.66666666667,35,20.893277938605,5.67,"M Apr"
"2","AD02",2017,"Apr","M",2391.73509933775,35.2,18.4899039874462,0,"M Apr"
"3","AD03",2017,"Apr","F",2450.08196721312,35.5,18.2853358420344,5.87,"F Apr"
"4","AD04",2017,"Apr","F",2608.8322147651,34.8,14.745316825831,0.28,"F Apr"
"5","AD05",2017,"Apr","F",2664,36,23.032639167018,8.83,"F Apr"
"6","AD06",2017,"Apr","M",2278.22297297297,34.6,19.2402956571697,0,"M Apr"
"7","AD07",2017,"Apr","M",2215.6146179402,35.1,18.0041751130921,9.26,"M Apr"
"8","AD08",2017,"Apr","F",2473.54838709677,36,17.2728179223166,9.58,"F Apr"
"9","AD09",2017,"Apr","M",2384.22508038585,36.1,26.3276202665891,10.35,"M Apr"
"10","AD10",2017,"Apr","F",2606.08805031447,36.8,13.6753022126756,6.51,"F Apr"
"11","AD11",2017,"Jul","M",2103.41924398625,34.1,45.2200192547943,23.41508,"M Jul"
"12","AD12",2017,"Jul","M",2095.16722408027,34.9,57.1694760375395,27.08096,"M Jul"
"13","AD13",2017,"Jul","M",1932.58741258741,33.6,47.176904763115,21.88202,"M Jul"
"14","AD14",2017,"Jul","F",2385.76271186441,34.2,NA,NA,"F Jul"
"15","AD15",2017,"Jul","M",1560.10380622837,33.9,94.0768902224947,18.9893,"M Jul"
"16","AD16",2017,"Jul","F",2324.20792079208,35.3,47.6297321174239,35.5694,"F Jul"
"17","AD17",2017,"Jul","M",1557.7397260274,34.5,42.1385047366351,16.49132,"M Jul"
"18","AD18",2017,"Jul","F",2210.83333333333,35,47.5517731702227,27.94388,"F Jul"
"19","AD19",2017,"Jul","F",2259.72491909385,35.9,21.2231383591576,22.45016,"F Jul"
"20","AD20",2017,"Jul","F",2198.64406779661,34.5,22.7975885230518,23.93222,"F Jul"
